text,label
DB04571 may increase the photosensitizing activities of DB00460,training
DB00855 may increase the photosensitizing activities of DB00460,training
DB09536 may increase the photosensitizing activities of DB00460,training
DB11630 may increase the photosensitizing activities of DB00460,training
DB01878 may increase the photosensitizing activities of DB00460,training
DB00140 may increase the photosensitizing activities of DB00460,training
DB00821 may increase the photosensitizing activities of DB00460,training
DB06148 may increase the anticholinergic activities of DB01116,training
DB00517 may increase the anticholinergic activities of DB00391,training
DB01168 may increase the anticholinergic activities of DB01071,training
DB00732 may increase the anticholinergic activities of DB08897,training
DB00810 may increase the anticholinergic activities of DB01409,training
DB00805 may increase the anticholinergic activities of DB00434,training
DB00496 may increase the anticholinergic activities of DB01409,training
DB01409 may increase the anticholinergic activities of DB08897,training
DB00182 may increase the anticholinergic activities of DB06153,training
DB00219 may increase the anticholinergic activities of DB00391,training
DB01037 may increase the anticholinergic activities of DB00366,training
DB00670 may increase the anticholinergic activities of DB00986,training
DB01168 may increase the anticholinergic activities of DB00366,training
DB06148 may increase the anticholinergic activities of DB00387,training
DB06148 may increase the anticholinergic activities of DB01591,training
DB00572 may increase the anticholinergic activities of DB09076,training
DB01247 may increase the anticholinergic activities of DB00434,training
DB06148 may increase the anticholinergic activities of DB00782,training
DB00732 may increase the anticholinergic activities of DB00986,training
DB00782 may increase the anticholinergic activities of DB08897,training
DB01116 may increase the anticholinergic activities of DB00986,training
DB00670 may increase the anticholinergic activities of DB09076,training
DB01247 may increase the anticholinergic activities of DB00366,training
DB00747 may increase the anticholinergic activities of DB00986,training
DB00517 may increase the anticholinergic activities of DB00986,training
DB00182 may increase the anticholinergic activities of DB00366,training
DB09076 may increase the anticholinergic activities of DB00391,training
DB00780 may increase the anticholinergic activities of DB01071,training
DB01199 may increase the anticholinergic activities of DB00986,training
DB01037 may increase the anticholinergic activities of DB00434,training
DB01591 may increase the anticholinergic activities of DB00986,training
DB06148 may increase the anticholinergic activities of DB01090,training
DB08897 may increase the anticholinergic activities of DB09076,training
DB01171 may increase the anticholinergic activities of DB00434,training
DB01199 may increase the anticholinergic activities of DB00391,training
DB00387 may increase the anticholinergic activities of DB09076,training
DB01367 may increase the anticholinergic activities of DB00366,training
